standardScaler(),PCA,MinMaxScaler(),"Model type 
(Classification/Regression)",Model used,Model specifics (if any),Target: what we predict,Predictor variables used,Genre as predictor,Accuracy,"F1 score 
(average)",AUC of ROC curve,AIC,"R2 score 
(test set)",MSE,Remarks (if any)
1,0,0,Classification,kNN,n_neighbors = 65,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.12,,,,,
1,0,0,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.065872085,4.28145917,
1,0,0,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.1066417848,2.29348257,
1,0,0,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.13,,,,,
1,0,0,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.08,,,,,
1,0,0,Classification,kNN,n_neighbors = 45,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.33,0.14,,,,,
1,0,0,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.058222436,3.420013387,
1,0,0,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.1063661421,1.83837614,
1,0,0,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.29,0.1,,,,,
1,0,0,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.14,,,,,
1,0,0,Classification,kNN,n_neighbors = 33,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.18,,,,,
1,0,0,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6389542002,3.389725569,
1,0,0,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.01473873516,2.03774169,
1,0,0,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.13,,,,,
1,0,0,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.11,,,,,
1,0,0,Classification,kNN,n_neighbors = 8,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.21,,,,,
1,0,0,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.772555783,4.618641232,
1,0,0,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.06892896464,2.785243453,
1,0,0,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.26,0.11,,,,,
1,0,0,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.11,,,,,
1,0,0,Classification,kNN,n_neighbors = 68,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.32,0.11,,,,,
1,0,0,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6324300699,3.59186747,
1,0,0,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.08424969872,2.385695592,
1,0,0,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.12,,,,,
1,0,0,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.6,0.405,0.4872828784,,,,
1,0,0,Classification,kNN,n_neighbors = 67,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.63,0.4,0.5080645161,,,,
1,0,0,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6040201958,0.375334672,
1,0,0,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.1402986955,0.2668255911,
1,0,0,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.58,0.39,0.4728598015,,,,
0,1,0,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.09,0.04,,,,,
0,1,0,Classification,kNN,n_neighbors = 1,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.11,0.07,,,,,
0,1,0,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.053661267,55.5543842,
0,1,0,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.005707834699,26.89698143,
0,1,0,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.05,0.02,,,,,
0,1,0,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.26,0.11,,,,,
0,1,0,Classification,kNN,n_neighbors = 90,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.31,0.12,,,,,
0,1,0,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.7193262008,3.563253012,
0,1,0,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.0334050113,2.003239701,
0,1,0,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.1,,,,,
0,1,0,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.27,0.1,,,,,
0,1,0,Classification,kNN,n_neighbors = 44,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.33,0.15,,,,,
0,1,0,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.8149175427,3.015729585,
0,1,0,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.03592425324,1.601941512,
0,1,0,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.31,0.12,,,,,
0,1,0,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.21,0.11,,,,,
0,1,0,Classification,kNN,n_neighbors = 24,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.16,,,,,
0,1,0,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.9146078982,3.959839357,
0,1,0,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.04020723163,2.151382296,
0,1,0,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,0.12,,,,,
0,1,0,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,0.08,,,,,
0,1,0,Classification,kNN,n_neighbors = 7,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.19,,,,,
0,1,0,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.98339237,5.168005355,
0,1,0,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.07794446223,2.808734589,
0,1,0,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.09,,,,,
0,1,0,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.08,,,,,
0,1,0,Classification,kNN,n_neighbors = 64,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.31,0.11,,,,,
0,1,0,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.7152493733,3.774096386,
0,1,0,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.08277074877,2.38244143,
0,1,0,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.07,,,,,
0,1,0,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.61,0.39,0.4888337469,,,,
0,1,0,Classification,kNN,n_neighbors = 23,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.66,0.535,0.5631203474,,,,
0,1,0,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.8457316653,0.4318942436,
0,1,0,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.2447235932,0.2912606231,
0,1,0,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.63,0.4,0.5032568238,,,,
0,0,1,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.12,0.06,,,,,
0,0,1,Classification,kNN,n_neighbors = 1,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.13,0.14,,,,,
0,0,1,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-1.052374609,55.51957831,
0,0,1,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.03025234879,26.2330183,
0,0,1,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.15,0.07,,,,,
0,0,1,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.2,,,,,
0,0,1,Classification,kNN,n_neighbors = 61,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.33,0.13,,,,,
0,0,1,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-1.010805847,4.167336011,
0,0,1,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.001369991407,2.069631338,
0,0,1,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.3,0.14,,,,,
0,0,1,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.23,0.14,,,,,
0,0,1,Classification,kNN,n_neighbors = 93,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.36,0.13,,,,,
0,0,1,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7428122846,2.895917001,
0,0,1,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.02082384519,1.696236109,
0,0,1,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.31,0.13,,,,,
0,0,1,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.33,0.2,,,,,
0,0,1,Classification,kNN,n_neighbors = 9,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.29,0.17,,,,,
0,0,1,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.8387161551,3.802878179,
0,0,1,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.01421949659,2.038815592,
0,0,1,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.23,0.12,,,,,
0,0,1,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.19,,,,,
0,0,1,Classification,kNN,n_neighbors = 12,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.19,,,,,
0,0,1,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7309407637,4.510207497,
0,0,1,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.01588532313,2.647030849,
0,0,1,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,0.12,,,,,
0,0,1,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.31,0.23,,,,,
0,0,1,Classification,kNN,n_neighbors = 73,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.3,0.11,,,,,
0,0,1,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7531226635,3.857429719,
0,0,1,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.04969958069,2.309674299,
0,0,1,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.24,0.1,,,,,
0,0,1,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.63,0.54,0.5521091811,,,,
0,0,1,Classification,kNN,n_neighbors = 40,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.66,0.575,0.580955335,,,,
0,0,1,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.659084643,0.3882195448,
0,0,1,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.09578628134,0.2564098542,
0,0,1,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.64,0.455,0.5226426799,,,,
1,0,0,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.11,0.07,,,,,
1,0,0,Classification,kNN,n_neighbors = 58,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.13,0.03,,,,,
1,0,0,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-1.049034246,55.42921687,
1,0,0,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.03275882332,26.16521468,
1,0,0,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.09,0.05,,,,,
1,0,0,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.29,0.27,,,,,
1,0,0,Classification,kNN,n_neighbors = 83,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.31,0.11,,,,,
1,0,0,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-1.010805847,4.167336011,
1,0,0,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.03709944343,1.995583099,
1,0,0,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.12,,,,,
1,0,0,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.17,,,,,
1,0,0,Classification,kNN,n_neighbors = 46,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.37,0.17,,,,,
1,0,0,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7428122846,2.895917001,
1,0,0,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.06183002708,1.764373395,
1,0,0,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.29,0.1,,,,,
1,0,0,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.29,0.18,,,,,
1,0,0,Classification,kNN,n_neighbors = 10,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,0.18,,,,,
1,0,0,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.8387161551,3.802878179,
1,0,0,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.01483266941,2.098901999,
1,0,0,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.24,0.13,,,,,
1,0,0,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.25,,,,,
1,0,0,Classification,kNN,n_neighbors = 17,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.19,,,,,
1,0,0,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7309407637,4.510207497,
1,0,0,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.05418138751,2.746816585,
1,0,0,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.23,0.1,,,,,
1,0,0,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.3,0.21,,,,,
1,0,0,Classification,kNN,n_neighbors = 48,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.33,0.11,,,,,
1,0,0,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7531226635,3.857429719,
1,0,0,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.03433153185,2.275859684,
1,0,0,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.32,0.16,,,,,
1,0,0,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.59,0.55,0.5493176179,,,,
1,0,0,Classification,kNN,n_neighbors = 8,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.64,0.62,0.6186414392,,,,
1,0,0,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.6848290598,0.3942436412,
1,0,0,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.1266835481,0.263639698,
1,0,0,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.6,0.41,0.4905397022,,,,
0,1,0,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.11,0.04,,,,,
0,1,0,Classification,kNN,n_neighbors = 1,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.1,0.07,,,,,
0,1,0,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.7558060604,47.49698795,
0,1,0,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.007030645026,26.86119757,
0,1,0,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.05,0.02,,,,,
0,1,0,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.19,,,,,
0,1,0,Classification,kNN,n_neighbors = 99,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.32,0.12,,,,,
0,1,0,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.5837599055,3.28229585,
0,1,0,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.03361280425,2.002809057,
0,1,0,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.3,0.1,,,,,
0,1,0,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.23,0.13,,,,,
0,1,0,Classification,kNN,n_neighbors = 44,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.33,0.15,,,,,
0,1,0,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.748753919,2.905789826,
0,1,0,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.03715795069,1.599891557,
0,1,0,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.31,0.12,,,,,
0,1,0,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.28,,,,,
0,1,0,Classification,kNN,n_neighbors = 24,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.16,,,,,
0,1,0,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.8844291986,3.897423025,
0,1,0,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.03962459032,2.150177263,
0,1,0,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.19,0.11,,,,,
0,1,0,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,0.16,,,,,
0,1,0,Classification,kNN,n_neighbors = 29,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.27,0.15,,,,,
0,1,0,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.6453987797,4.28731593,
0,1,0,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.0750691675,2.801242608,
0,1,0,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.22,0.09,,,,,
0,1,0,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.28,0.18,,,,,
0,1,0,Classification,kNN,n_neighbors = 51,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.31,0.11,,,,,
0,1,0,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.5783579628,3.472891566,
0,1,0,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.08302740713,2.38300616,
0,1,0,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,0.07,,,,,
0,1,0,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.59,0.51,0.5200062035,,,,
0,1,0,Classification,kNN,n_neighbors = 2,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.65,0.53,0.5583126551,,,,
0,1,0,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.8507375241,0.4330655957,
0,1,0,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,-0.2291361764,0.2876132263,
0,1,0,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.63,0.4,0.5032568238,,,,
